t	x	y
0.000000E0	-2.434286E2	6.857143E1
3.332222E-2	-2.334012E2	3.042106E1
6.664444E-2	-2.158935E2	-9.078260E0
9.997778E-2	-1.893818E2	-4.326985E1
1.333000E-1	-1.652074E2	-7.340925E1
1.666222E-1	-1.196286E2	-9.921976E1
1.999444E-1	-7.887119E1	-1.172121E2
2.332667E-1	-2.872587E1	-1.291317E2
2.666000E-1	2.149248E1	-1.351822E2
2.999222E-1	6.761649E1	-1.330489E2
3.332444E-1	1.230581E2	-1.231527E2
3.665667E-1	1.752050E2	-1.071001E2
3.998889E-1	2.185913E2	-8.349113E1
4.332222E-1	2.521144E2	-5.720141E1
4.665444E-1	2.815571E2	-2.562567E1
4.998667E-1	2.972449E2	6.854582E0
5.331889E-1	3.155699E2	4.279779E1
5.665111E-1	3.213177E2	8.229670E1
5.998444E-1	3.183900E2	1.206978E2
6.331667E-1	3.027633E2	1.524378E2
6.664889E-1	2.844548E2	1.865310E2
6.998111E-1	2.561969E2	2.188892E2
7.331444E-1	2.188770E2	2.423856E2
7.664667E-1	1.864397E2	2.685075E2
7.997889E-1	1.401784E2	2.847018E2
8.331111E-1	8.665506E1	2.905193E2
8.664333E-1	3.446401E1	2.926419E2
8.997556E-1	-1.740469E1	2.866418E2
9.330889E-1	-7.944291E1	2.705836E2
9.664111E-1	-1.246561E2	2.517899E2
9.997333E-1	-1.473181E2	2.364922E2
1.033056E0	-1.867909E2	2.047120E2
1.066389E0	-2.297221E2	1.628193E2
1.099711E0	-2.524361E2	1.218501E2
1.133033E0	-2.532460E2	9.044368E1
1.166356E0	-2.563282E2	5.278996E1
1.199678E0	-2.458335E2	1.247910E1
1.233011E0	-2.279286E2	-2.164267E1
1.266333E0	-1.958357E2	-5.345158E1
1.299656E0	-1.608889E2	-8.314505E1
1.332978E0	-1.216958E2	-1.052985E2
1.366300E0	-7.901800E1	-1.231364E2
1.399633E0	-2.307181E1	-1.315194E2
1.432956E0	1.872207E1	-1.350823E2
1.466278E0	7.270211E1	-1.308662E2
1.499600E0	1.217608E2	-1.182727E2
1.532922E0	1.697714E2	-1.012515E2
1.566256E0	2.130136E2	-7.762504E1
1.599578E0	2.539097E2	-4.730204E1
1.632900E0	2.759895E2	-1.750937E1
1.666222E0	3.024877E2	1.869614E1
1.699544E0	3.108391E2	5.655909E1
1.732878E0	3.125498E2	9.040271E1
1.766200E0	3.076724E2	1.248804E2
1.799522E0	2.954039E2	1.626917E2
1.832844E0	2.591576E2	1.866804E2
1.866167E0	2.310632E2	2.174199E2
1.899500E0	2.090144E2	2.485778E2
1.932822E0	1.661745E2	2.667921E2
1.966144E0	1.193710E2	2.789672E2
1.999467E0	6.092034E1	2.848602E2
2.032800E0	1.611681E1	2.848637E2
2.066122E0	-3.437130E1	2.789486E2
2.099444E0	-8.659313E1	2.640714E2
2.132767E0	-1.347663E2	2.423323E2
2.166089E0	-1.774514E2	2.109729E2
2.199422E0	-2.091610E2	1.805229E2
2.232744E0	-2.364793E2	1.426625E2
2.266067E0	-2.532787E2	1.068102E2
2.299389E0	-2.594158E2	6.945931E1
2.332711E0	-2.555248E2	3.359188E1
2.366044E0	-2.423268E2	2.405779E0
2.399367E0	-2.146180E2	-3.153246E1
2.432689E0	-1.867611E2	-6.340260E1
2.466011E0	-1.545384E2	-8.972241E1
2.499333E0	-1.109563E2	-1.113698E2
2.532667E0	-6.708095E1	-1.253400E2
2.565989E0	-1.513265E1	-1.318028E2
2.599311E0	3.569508E1	-1.333294E2
2.632633E0	8.051824E1	-1.273299E2
2.665956E0	1.304062E2	-1.135501E2
2.699289E0	1.673629E2	-9.527300E1
2.732611E0	2.011131E2	-6.971620E1
2.765933E0	2.437759E2	-3.981996E1
2.799256E0	2.621926E2	-9.549510E0
2.832578E0	2.901090E2	2.493540E1
2.865911E0	3.105369E2	6.683637E1
